icon,badge,name,prompt,effect_label,effect_value,bonus,setup,Copies
■,Labor（仕事）,大型プロジェクトのリーダーを任される,リーダーを任された(任されたい)経験を振り返ると、どんな気持ちでしたか？,効果,"マネー+3
Learning+1
※Learning2以上必須(未満はマネー+1)",,,1
■,Labor（仕事）,重要な商談・プレゼンを担当する,大事な商談やプレゼンで印象に残っている出来事はありますか？,効果,"マネー+3
※Learning2以上必須(未満はマネー+1)",,,1
■,Labor（仕事）,突発的なクレーム・トラブル対応に追われる,予期せぬトラブル対応に追われた経験を思い出してみましょう。,効果,マネー+2,,,1
■,Labor（仕事）,後輩・部下の育成を任される,人を育てる/育てられた経験で印象に残っていることは？,効果,"マネー+2
Love+1
※Learning2以上必須(未満はマネー+1)",,,1
■,Labor（仕事）,他部署・社外との調整に奔走する,利害の異なる相手との調整で工夫したことはありますか？,効果,"マネー+1
Love+1",,,1
■,Labor（仕事）,締切に追われて追い込みをかける,締切前に無理をした経験、その時どう乗り切りましたか？,効果,マネー+2,,,1
■,Labor（仕事）,新しい業務プロセスの改善を提案する,仕事のやり方を変えようとした経験はありますか？,効果,マネー+1,,,1
■,Labor（仕事）,予算やリソースの確保に奔走する,限られたリソースの中で成果を出そうとした経験は？,効果,マネー+1,,,1
■,Labor（仕事）,新規顧客の開拓に取り組む,新しい取引先やお客様を開拓した経験はありますか？,効果,"マネー+2
Learning+1",,,1
■,Labor（仕事）,定型業務をコツコツこなす,地道な作業をコツコツ続けた経験を振り返ってみましょう。,効果,マネー+1,,,1
