band_type,band_label,code,name,definition,Copies
k,社会人基礎力,No.01,主体性,自ら考え、周囲に依存せずに行動を起こす姿勢,1
k,社会人基礎力,No.02,働きかけ力,周囲の協力や理解を得るために積極的にアプローチする力,1
k,社会人基礎力,No.03,実行力,決めたことを最後までやり遂げ、結果につなげる力,1
k,社会人基礎力,No.04,課題発見力,現状を分析し、改善すべき点や潜在的な問題を見抜く力,1
k,社会人基礎力,No.05,計画力,目標に向けてタスクを分解し、期限を守って遂行する力,1
k,社会人基礎力,No.06,創造力,新しいアイデアを発想し、従来にない解決策を考える力,1
k,社会人基礎力,No.07,発信力,必要な情報や意見を、適切なタイミングで共有する力,1
k,社会人基礎力,No.08,傾聴力,相手の話を注意深く聞き、意図や背景を理解する力,1
k,社会人基礎力,No.09,柔軟性,変化や予期せぬ状況に適応し、前向きに対応する力,1
k,社会人基礎力,No.10,情況把握力,周囲の状況や背景を読み取り、適切に判断・行動する力,1
k,社会人基礎力,No.11,規律性,ルールや約束を守り、組織の一員として行動する力,1
k,社会人基礎力,No.12,ストレスコントロール力,緊張や負荷の高い状況でも冷静に対処する力,1
s,その他の能力,No.13,ビジネスマナー,挨拶・言葉遣い・身だしなみなど、社会人としての基本,1
s,その他の能力,No.14,文章作成力,メール、議事録、報告書を正確かつ分かりやすくまとめる力,1
s,その他の能力,No.15,情報整理力,メモ・ノート・データを構造的に整理し、必要なときに活用できる力,1
s,その他の能力,No.16,基本的なPCスキル,Word、Excel、PowerPointなどの操作力,1
s,その他の能力,No.17,論理的思考力,物事を筋道立てて整理し、合理的に説明・判断する力,1
s,その他の能力,No.18,PDCAサイクル実践力,計画・実行・振り返り・改善を回して成果を高める力,1
s,その他の能力,No.19,チームワーク,役割分担を理解し、協力して成果を出す力,1
s,その他の能力,No.20,説明力・プレゼン力,自分の考えをわかりやすく伝え、納得感を得る力,1
s,その他の能力,No.21,対人調整力,異なる立場や利害を持つ人の間で合意形成を図る力,1
s,その他の能力,No.22,交渉力,双方にとって納得感のある妥協点や解決策を導く力,1
s,その他の能力,No.23,巻き込み力,関係者を動かし、協力体制を築く力,1
s,その他の能力,No.24,信頼関係構築力,誠実さや一貫性によって、相手から信頼を得る力,1
s,その他の能力,No.25,セルフマネジメント,自分の行動や感情をコントロールし、安定して成果を出す力,1
s,その他の能力,No.26,フィードバック受容力,指摘や助言を前向きに受け止め、成長につなげる力,1
s,その他の能力,No.27,自己学習力,新しい知識やスキルを学び、自己成長を継続する力,1
s,その他の能力,No.28,責任感,成果・品質・納期に責任を持ち、やり抜く姿勢,1
s,その他の能力,No.29,挑戦する姿勢,失敗を恐れず、新しいことに積極的に取り組む力,1
s,その他の能力,No.30,データ活用力,数値や事実をもとに、根拠のある判断を行う力,1
